
****************************************

  MemTrackerLog 

       Sep 25 2024  
       19:48:13  

****************************************

External Libs: 

Leak(0)  4 bytes ref:169 
Leak(1)  40 bytes ref:171 
Leak(2)  4 bytes ref:172 
Leak(3)  16 bytes ref:173 
Leak(4)  48 bytes ref:174 
Leak(5)  4 bytes ref:175 
Leak(6)  16 bytes ref:176 
Leak(7)  16 bytes ref:177 
Leak(8)  16 bytes ref:178 
Leak(9)  4 bytes ref:179 
Leak(10)  40 bytes ref:181 
Leak(11)  16 bytes ref:182 
Leak(12)  48 bytes ref:183 
Leak(13)  40 bytes ref:184 
Leak(14)  40 bytes ref:185 
Leak(15)  40 bytes ref:186 
Leak(16)  40 bytes ref:187 
Leak(17)  40 bytes ref:188 
Leak(18)  16 bytes ref:189 
Leak(19)  40 bytes ref:190 
Leak(20)  16 bytes ref:191 
Leak(21)  48 bytes ref:192 
Leak(22)  40 bytes ref:193 
Leak(23)  16 bytes ref:197 
Leak(24)  64 bytes ref:198 
Leak(25)  16 bytes ref:245 
Leak(26)  32 bytes ref:246 
Leak(27)  16 bytes ref:249 
Leak(28)  48 bytes ref:250 
Leak(29)  16 bytes ref:254 
Leak(30)  48 bytes ref:255 
Leak(31)  16 bytes ref:260 
Leak(32)  32 bytes ref:261 
Leak(33)  16 bytes ref:267 
Leak(34)  32 bytes ref:268 
Leak(35)  16 bytes ref:275 
Leak(36)  32 bytes ref:276 
Leak(37)  16 bytes ref:278 
Leak(38)  32 bytes ref:279 
Leak(39)  16 bytes ref:288 
Leak(40)  32 bytes ref:289 
Leak(41)  16 bytes ref:291 
Leak(42)  32 bytes ref:292 
Leak(43)  16 bytes ref:294 
Leak(44)  32 bytes ref:295 
Leak(45)  16 bytes ref:307 
Leak(46)  32 bytes ref:308 
Leak(47)  16 bytes ref:310 
Leak(48)  32 bytes ref:311 
Leak(49)  16 bytes ref:313 
Leak(50)  32 bytes ref:314 
Leak(51)  16 bytes ref:316 
Leak(52)  32 bytes ref:317 
Leak(53)  16 bytes ref:333 
Leak(54)  48 bytes ref:334 
Leak(55)  16 bytes ref:336 
Leak(56)  32 bytes ref:337 
Leak(57)  16 bytes ref:339 
Leak(58)  32 bytes ref:340 
Leak(59)  16 bytes ref:342 
Leak(60)  48 bytes ref:343 
Leak(61)  16 bytes ref:345 
Leak(62)  48 bytes ref:346 
Leak(63)  16 bytes ref:348 
Leak(64)  32 bytes ref:349 
Leak(65)  16 bytes ref:371 
Leak(66)  32 bytes ref:372 
Leak(67)  16 bytes ref:374 
Leak(68)  32 bytes ref:375 
Leak(69)  16 bytes ref:377 
Leak(70)  32 bytes ref:378 
Leak(71)  16 bytes ref:380 
Leak(72)  32 bytes ref:381 
Leak(73)  16 bytes ref:383 
Leak(74)  32 bytes ref:384 
Leak(75)  16 bytes ref:386 
Leak(76)  32 bytes ref:387 
Leak(77)  16 bytes ref:389 
Leak(78)  32 bytes ref:390 
Leak(79)  16 bytes ref:392 
Leak(80)  32 bytes ref:393 
Leak(81)  16 bytes ref:395 
Leak(82)  32 bytes ref:396 
Leak(83)  16 bytes ref:427 
Leak(84)  32 bytes ref:428 
Leak(85)  16 bytes ref:430 
Leak(86)  32 bytes ref:431 
Leak(87)  16 bytes ref:433 
Leak(88)  48 bytes ref:434 
Leak(89)  16 bytes ref:436 
Leak(90)  32 bytes ref:437 
Leak(91)  16 bytes ref:439 
Leak(92)  32 bytes ref:440 
Leak(93)  16 bytes ref:442 
Leak(94)  32 bytes ref:443 
Leak(95)  16 bytes ref:445 
Leak(96)  32 bytes ref:446 
Leak(97)  16 bytes ref:448 
Leak(98)  32 bytes ref:449 
Leak(99)  16 bytes ref:451 
Leak(100)  32 bytes ref:452 
Leak(101)  16 bytes ref:454 
Leak(102)  32 bytes ref:455 
Leak(103)  16 bytes ref:457 
Leak(104)  48 bytes ref:458 
Leak(105)  16 bytes ref:460 
Leak(106)  48 bytes ref:461 
Leak(107)  16 bytes ref:463 
Leak(108)  32 bytes ref:464 
Leak(109)  16 bytes ref:466 
Leak(110)  32 bytes ref:467 
Leak(111)  16 bytes ref:512 
Leak(112)  32 bytes ref:513 
Leak(113)  16 bytes ref:515 
Leak(114)  32 bytes ref:516 
Leak(115)  16 bytes ref:518 
Leak(116)  48 bytes ref:519 
Leak(117)  16 bytes ref:521 
Leak(118)  48 bytes ref:522 
Leak(119)  16 bytes ref:524 
Leak(120)  32 bytes ref:525 
Leak(121)  16 bytes ref:527 
Leak(122)  32 bytes ref:528 
Leak(123)  16 bytes ref:530 
Leak(124)  32 bytes ref:531 
Leak(125)  16 bytes ref:533 
Leak(126)  32 bytes ref:534 
Leak(127)  16 bytes ref:536 
Leak(128)  32 bytes ref:537 
Leak(129)  16 bytes ref:541 
Leak(130)  32 bytes ref:542 
Leak(131)  16 bytes ref:544 
Leak(132)  32 bytes ref:545 
Leak(133)  16 bytes ref:547 
